Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2018;12.46;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2019;11.26;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2020;9.43;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2021;11.01;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2022;10.41;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Luftschadstoffbelastung;Luftschadstoffbelastung (μg / m³);μg / m³;2023;8.61;bochum_Luftschadstoffbelastung.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2016;41.84;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2017;42.79;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2018;44.02;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2019;43.55;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2020;44.18;bochum_Naherholungsflaechen.csv
Bochum, kreisfreie Stadt;Naherholungsflächen;Naherholungsflächen (m² je Einwohner:in);m² je Einwohner:in;2021;46.78;bochum_Naherholungsflaechen.csv
